source,name,open,location,genre,city,state,year_opened,the_geom,year_closed,audience,notes,known_open_date,approved,location_confirmed,date_confirmed,cartodb_id,created_at,updated_at
1969 Gay Scene Guide,Mama's Chick n' Rib,false,39 Greenwich Av,-74.00042218,New York,NY,1969,0101000020E61000000000C0D0098052C09A4451B0205E4440,,,,,true,true,false,510,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Pink Pages Winter Spring 1994,Meat,false,432 West 14 St,-74.00668331,New York,NY,1994,0101000020E610000000000038718052C05EA2879BE65E4440,,,,,true,true,false,511,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,La Fronde,false,605 Hudson St,-74.00574108,New York,NY,1980,0101000020E610000000000039618052C0B58E03285F5E4440,,,,,true,true,false,512,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Metropolitan Community Church,false,201 West 13 St,-74.00047632,New York,NY,1980,0101000020E610000000004082058052C0BC8D81FE795E4440,,,,,true,true,false,513,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Lesbian & Gay Dance,false,208 West 13 St,-74.00060262,New York,NY,,0101000020E6100000000000B7108052C0D9591265795E4440,,,Lesbian & Gay Community Service Center,,true,true,false,514,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Le Vingt-Deux,false,22 Seventh Av,-74.0005521,New York,NY,,0101000020E61000000000C01F068052C0FD75877D5E5E4440,,,,,true,true,false,515,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Menemsha Bar,false,130 East 57 St,-73.96948671,New York,NY,1980,0101000020E61000000000800F0D7E52C086CB2FFE64614440,,,,,true,true,false,516,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Linda,false,240 West 47 St,-73.98609908,New York,NY,,0101000020E610000000008044227F52C0D85ACDF941614440,,,"At Supper Club, Thursday",,true,true,false,517,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,Pam-Pam,false,95 Seventh Av,-73.99883803,New York,NY,1969,0101000020E61000000000C078E97F52C02A55A878AD5E4440,,,,,true,true,false,518,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Neptune's Pub,false,730 Eighth Av,-73.98822888,New York,NY,1980,0101000020E6100000FFFF7F673B7F52C03C31AFAA30614440,,,,,true,true,false,519,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Ossi Guesthouse,false,358 West 30 St,-73.9968925,New York,NY,1980,0101000020E6100000000020B2D77F52C024A7F2C80F604440,,,,,true,true,false,520,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
